"tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"WALKING_UPSTAIRS.14" " 0.274638682" "-0.015074005" "-0.105264367" " 0.599098975" " 0.054610984" " 0.130135867" " 0.077301708" " 0.003664752" "-0.006957641" "-0.023047441" "-0.077380085" " 0.098840760" "-0.100542747" "-0.041473881" "-0.054978680" "-0.954651727" "-0.954651727" "-0.982660079" "-0.945647505" "-0.985488763" "-0.977590047" "-0.957021698" "-0.959720591" "-0.227493608" "-0.117621832" "-0.006689479" "-0.985349749" "-0.978897426" "-0.977206196" " 0.025639202" "-0.127279922" "-0.037093100" "-0.969864990" "-0.966022948" "-0.968502551" "-0.182619257" "-0.331243230" "-0.048044991" "-0.958267383" "-0.034962168" "-0.981048938" " 0.301430693" "-0.959072825" "-0.182124389" "-0.981054587" " 0.165611493" "-0.975494322" "-0.944189643" "-0.943891439" "-0.963666510" "-0.965538337" "-0.952893375" "-0.985306933" "-0.978904104" "-0.980713290" "-0.973762052" "-0.962039041" "-0.967101618" "-0.981309872" "-0.982321303" "-0.986841167" "-0.944706587" "-0.944706587" "-0.981714665" "-0.947469716" "-0.980252790" "-0.974837440" "-0.941020529" "-0.939615463" "-0.986653890" "-0.980582625" "-0.982966497" "-0.975138492" "-0.960261623" "-0.969622703" "-0.946119101" "-0.981486920" "-0.949080940" "-0.980403828"
"LAYING.15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.15" " 0.278213407" "-0.016464485" "-0.112563588" " 0.688872512" " 0.102660492" " 0.037289770" " 0.077689741" " 0.004893921" "-0.004409932" "-0.028127878" "-0.075878846" " 0.090665852" "-0.096091011" "-0.044127069" "-0.055564546" "-0.527285352" "-0.527285352" "-0.654799695" "-0.617721780" "-0.805282670" "-0.583772317" "-0.507735206" "-0.741745725" "-0.218637120" " 0.050508538" " 0.042451960" "-0.643469519" "-0.609408057" "-0.805543466" "-0.049027357" "-0.197408730" "-0.073783447" "-0.664354429" "-0.760711411" "-0.711194540" "-0.143256674" "-0.222137469" "-0.057976058" "-0.562948391" " 0.061427919" "-0.614817605" " 0.158404218" "-0.732394494" "-0.149680865" "-0.836801894" " 0.095556423" "-0.556541173" "-0.481679538" "-0.705706624" "-0.968733399" "-0.956369494" "-0.947240058" "-0.624055782" "-0.594312678" "-0.825820882" "-0.696859473" "-0.708779069" "-0.721826988" "-0.731382711" "-0.853956592" "-0.795626198" "-0.557147874" "-0.557147874" "-0.625660377" "-0.675336960" "-0.837120078" "-0.547150855" "-0.501568435" "-0.711431340" "-0.637655155" "-0.605854883" "-0.845111061" "-0.709336168" "-0.684504736" "-0.751696527" "-0.623655618" "-0.643101167" "-0.695346840" "-0.849634464"
"WALKING_UPSTAIRS.15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.16" " 0.277887440" "-0.015856789" "-0.107263924" " 0.700906130" "-0.060523599" " 0.040207554" " 0.077548889" " 0.008840183" "-0.001437300" "-0.012234145" "-0.072444480" " 0.073014465" "-0.107361615" "-0.041661567" "-0.053947041" "-0.616131117" "-0.616131117" "-0.725246870" "-0.718168776" "-0.860446372" "-0.700885147" "-0.671572147" "-0.660989948" "-0.238570460" "-0.027643472" " 0.027823464" "-0.744662042" "-0.748627002" "-0.752302172" "-0.031888911" "-0.194511969" "-0.170592442" "-0.789780147" "-0.815962130" "-0.756286642" "-0.137899091" "-0.158018409" "-0.053894629" "-0.666962508" " 0.055866821" "-0.713167614" " 0.221683632" "-0.817128819" "-0.050122134" "-0.872772283" " 0.153211240" "-0.668161498" "-0.649947068" "-0.603819902" "-0.971156432" "-0.964727520" "-0.945294029" "-0.727861744" "-0.735080198" "-0.767873049" "-0.799534450" "-0.810124134" "-0.737629968" "-0.858298719" "-0.869573121" "-0.837039926" "-0.661719690" "-0.661719690" "-0.719647028" "-0.784822866" "-0.874800166" "-0.656969045" "-0.661844531" "-0.605646725" "-0.734776737" "-0.738434398" "-0.782089515" "-0.804991832" "-0.809421448" "-0.756993641" "-0.712680991" "-0.729869399" "-0.802078223" "-0.886533212"
"WALKING_UPSTAIRS.16" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.17" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.17" " 0.273441473" "-0.018088856" "-0.109111919" " 0.668613344" " 0.010462256" " 0.022372208" " 0.082511051" " 0.008852282" " 0.003826533" "-0.012841669" "-0.083388099" " 0.074515782" "-0.109084058" "-0.039029621" "-0.050409122" "-0.506906000" "-0.506906000" "-0.652073858" "-0.630693907" "-0.782817693" "-0.600723905" "-0.545947390" "-0.679389862" "-0.256068433" "-0.004418418" "-0.015670789" "-0.675134742" "-0.650937495" "-0.774494050" "-0.130540964" "-0.199136237" "-0.201957868" "-0.690246842" "-0.742846209" "-0.687922054" "-0.079419851" "-0.109006735" "-0.047111040" "-0.595908048" " 0.019219609" "-0.653531401" " 0.188333227" "-0.737035467" " 0.013424921" "-0.804523588" " 0.217874558" "-0.550867932" "-0.507275258" "-0.613217323" "-0.969536164" "-0.957048170" "-0.945421014" "-0.635949364" "-0.620918528" "-0.786681240" "-0.725004888" "-0.731732703" "-0.681002221" "-0.757792559" "-0.800933115" "-0.780457505" "-0.585287409" "-0.585287409" "-0.649316139" "-0.715592901" "-0.800134242" "-0.533671600" "-0.519062340" "-0.609007945" "-0.628899886" "-0.614345426" "-0.797533236" "-0.737661759" "-0.727797532" "-0.708869113" "-0.644502428" "-0.647886818" "-0.752523554" "-0.809882656"
"STANDING.17" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.17" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.17" " 0.277950050" "-0.013893261" "-0.109786078" " 0.901097860" "-0.175047727" "-0.284880580" " 0.074039424" " 0.006070928" "-0.004788138" "-0.026848277" "-0.078196440" " 0.093753615" "-0.099654923" "-0.040120769" "-0.053786515" "-0.978108871" "-0.978108871" "-0.992407461" "-0.979459901" "-0.994575165" "-0.992157218" "-0.973701284" "-0.982664512" "-0.027785384" " 0.070088913" " 0.162404006" "-0.993660825" "-0.986870458" "-0.989427028" " 0.257660613" " 0.088375065" " 0.101435515" "-0.985134203" "-0.987405593" "-0.986429750" "-0.092322139" "-0.091922053" " 0.066697424" "-0.981396533" " 0.144284652" "-0.991203281" " 0.403466798" "-0.985919112" "-0.052060296" "-0.993130339" " 0.332245723" "-0.992370655" "-0.965205728" "-0.976352308" "-0.986674910" "-0.970555892" "-0.973160545" "-0.993627979" "-0.987195772" "-0.991061699" "-0.985719333" "-0.985762623" "-0.985666489" "-0.992357468" "-0.993025651" "-0.993543291" "-0.974654939" "-0.974654939" "-0.991481432" "-0.980494326" "-0.992734156" "-0.992433995" "-0.962714830" "-0.974056182" "-0.994178642" "-0.988578177" "-0.991258490" "-0.986027005" "-0.984919989" "-0.986650576" "-0.974433711" "-0.990655516" "-0.980292096" "-0.992490135"
"WALKING_UPSTAIRS.17" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.18" " 0.2779582400" "-0.0172974109" "-0.1100215460" " 0.9625811617" "-0.1800188357" " 0.0783976787" " 0.0756560724" " 0.0121235293" " 0.0004263435" "-0.0259236283" "-0.0744458280" " 0.0854533145" "-0.0981970214" "-0.0397930495" "-0.0533196080" "-0.9636858343" "-0.9636858343" "-0.9843366140" "-0.9518878120" "-0.9866118850" "-0.9900529090" "-0.9498110153" "-0.9727380817" "-0.0377801751" "-0.0957290482" "-0.1099192007" "-0.9896497280" "-0.9690709220" "-0.9867784067" " 0.1471908513" "-0.1951801237" "-0.0223105555" "-0.9536685057" "-0.9827656143" "-0.9664664557" "-0.3070395698" "-0.3757599865" "-0.2298355800" "-0.9713732900" "-0.0422050908" "-0.9825388873" " 0.3642971061" "-0.9646280237" "-0.3146461093" "-0.9873325310" "-0.0080200477" "-0.9917052063" "-0.9390952570" "-0.9507530177" "-0.9956797983" "-0.9755771300" "-0.9737592973" "-0.9898081253" "-0.9687810370" "-0.9890641517" "-0.9504615057" "-0.9776609803" "-0.9623303117" "-0.9761981657" "-0.9918060910" "-0.9827657027" "-0.9642221920" "-0.9642221920" "-0.9837336397" "-0.9479424813" "-0.9863544973" "-0.9924698083" "-0.9370879010" "-0.9435083023" "-0.9909529017" "-0.9707642763" "-0.9900110260" "-0.9503920717" "-0.9750298337" "-0.9644316523" "-0.9651016647" "-0.9842855953" "-0.9468382383" "-0.9856817883"
"STANDING.18" " 0.2761773778" "-0.0172818742" "-0.1079407575" " 0.6947927771" "-0.0010301843" " 0.0910314168" " 0.0776448301" " 0.0129534445" " 0.0008864674" "-0.0384301360" "-0.0672248772" " 0.0913241465" "-0.0940621740" "-0.0445622527" "-0.0571652014" "-0.6309474597" "-0.6309474597" "-0.7332071975" "-0.6934345779" "-0.8485186301" "-0.6894530510" "-0.6379574496" "-0.7422313876" "-0.2257827802" " 0.0240758219" " 0.0124661630" "-0.7284964559" "-0.7239076831" "-0.8192225330" "-0.0885695985" "-0.2132929815" "-0.1323010551" "-0.7728554637" "-0.8014415928" "-0.7370160205" "-0.0962211625" "-0.2337752024" "-0.0764512200" "-0.6731543806" " 0.1030813276" "-0.7207476184" " 0.2120485910" "-0.8029625492" "-0.0342610055" "-0.8754412105" " 0.2113079719" "-0.6679323052" "-0.5990955538" "-0.6792166703" "-0.9787427666" "-0.9689999556" "-0.9581474903" "-0.7117255571" "-0.7117884691" "-0.8345206653" "-0.7914264437" "-0.7593707616" "-0.7261468099" "-0.8309200029" "-0.8743718246" "-0.8256669648" "-0.6650116836" "-0.6650116836" "-0.7237887863" "-0.7603152783" "-0.8797818798" "-0.6604895379" "-0.6055104240" "-0.6725416763" "-0.7202033720" "-0.7183984537" "-0.8485064931" "-0.7997605560" "-0.7403214574" "-0.7485927444" "-0.7131377985" "-0.7291634237" "-0.7756704383" "-0.8947090254"
"WALKING.18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.18" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.19" " 0.269723487" "-0.018203152" "-0.118277180" " 0.475323016" " 0.096405263" " 0.233011401" " 0.077417115" " 0.011581242" "-0.001861989" "-0.038572395" "-0.068142060" " 0.088360959" "-0.089593943" "-0.038320874" "-0.056964944" "-0.531507362" "-0.531507362" "-0.576225247" "-0.548919668" "-0.683436542" "-0.587050355" "-0.521888077" "-0.647026298" "-0.212433283" " 0.070387363" " 0.160383894" "-0.593157169" "-0.596694944" "-0.680924493" " 0.002638830" "-0.160787596" " 0.002255799" "-0.553089576" "-0.641337300" "-0.602625308" "-0.032184261" "-0.196297607" "-0.041501377" "-0.556404445" " 0.115775171" "-0.576064648" " 0.232074775" "-0.636288000" "-0.019933625" "-0.719519009" " 0.128629739" "-0.574658923" "-0.507035085" "-0.649184727" "-0.958290448" "-0.959253834" "-0.941800285" "-0.571088266" "-0.571311190" "-0.705342976" "-0.637789915" "-0.643866301" "-0.645682212" "-0.618836207" "-0.725991381" "-0.686684584" "-0.599552767" "-0.599552767" "-0.601918553" "-0.610093381" "-0.725598699" "-0.570897975" "-0.530901585" "-0.680291383" "-0.586910129" "-0.572596723" "-0.728521901" "-0.666071316" "-0.650105402" "-0.694729075" "-0.689860920" "-0.641089006" "-0.662325968" "-0.754223739"
"STANDING.19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.19" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.20" " 0.268210690" "-0.015439435" "-0.103432062" " 0.590974958" " 0.002436483" " 0.107789719" " 0.075034692" "-0.002744001" "-0.002514955" "-0.022472683" "-0.078962719" " 0.090025398" "-0.094554705" "-0.040201243" "-0.052572457" "-0.452429326" "-0.452429326" "-0.564555999" "-0.435122258" "-0.624627828" "-0.570637922" "-0.324959680" "-0.671955872" "-0.273541701" " 0.040394045" " 0.096433155" "-0.624523279" "-0.466996134" "-0.730766642" "-0.140843709" "-0.270189614" "-0.171111061" "-0.579382474" "-0.526303994" "-0.431155164" "-0.129845705" "-0.160848125" "-0.045147145" "-0.505493351" " 0.073854653" "-0.538159936" " 0.116672886" "-0.547332691" "-0.002630092" "-0.659341952" " 0.094792659" "-0.546535423" "-0.259011300" "-0.639730169" "-0.958045641" "-0.951149621" "-0.943657001" "-0.586215941" "-0.426120353" "-0.738913457" "-0.652396392" "-0.485894485" "-0.460843186" "-0.653186069" "-0.643573138" "-0.536900064" "-0.519017421" "-0.519017421" "-0.540847617" "-0.521471398" "-0.653076369" "-0.538561223" "-0.273948137" "-0.650889312" "-0.584111034" "-0.420402256" "-0.745732864" "-0.676883052" "-0.467098764" "-0.522534473" "-0.604222557" "-0.548497930" "-0.588328799" "-0.670451895"
"SITTING.20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.20" " 0.268595206" "-0.019286707" "-0.111651090" " 0.657243899" "-0.068618166" " 0.106790367" " 0.083586891" " 0.006111878" "-0.006074915" "-0.025648310" "-0.078930756" " 0.082163496" "-0.095318977" "-0.042408146" "-0.055661323" "-0.568334117" "-0.568334117" "-0.663144566" "-0.581261643" "-0.730864782" "-0.645734538" "-0.506320391" "-0.659532034" "-0.192436789" "-0.052280991" " 0.063408155" "-0.674120731" "-0.629326860" "-0.734465775" "-0.058266622" "-0.316069734" "-0.175868678" "-0.663525229" "-0.642043649" "-0.587217934" "-0.171197489" "-0.225985835" "-0.211723505" "-0.603443253" " 0.049964959" "-0.621138091" " 0.064020900" "-0.653958607" "-0.118915872" "-0.718871386" " 0.015476072" "-0.650788909" "-0.456259754" "-0.630893002" "-0.958324947" "-0.953576081" "-0.938873597" "-0.659309592" "-0.606793100" "-0.754019452" "-0.709948104" "-0.642839667" "-0.579620527" "-0.733941115" "-0.716353299" "-0.715358642" "-0.614326377" "-0.614326377" "-0.626302306" "-0.626155662" "-0.707476829" "-0.654036248" "-0.466298670" "-0.644857546" "-0.674575997" "-0.609033041" "-0.772151009" "-0.726226342" "-0.646762421" "-0.616340393" "-0.683038765" "-0.635841381" "-0.673230720" "-0.713768868"
"WALKING.20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.21" " 0.277466526" "-0.017666458" "-0.108778481" " 0.645775958" "-0.075096307" " 0.032185177" " 0.082220787" " 0.003501076" "-0.010659073" "-0.027634664" "-0.078471974" " 0.086121267" "-0.100558318" "-0.040823614" "-0.053386105" "-0.620309260" "-0.620309260" "-0.703461276" "-0.693779225" "-0.807817403" "-0.693486097" "-0.593778214" "-0.707713799" "-0.230976168" " 0.041276140" " 0.049552045" "-0.716414131" "-0.678615119" "-0.767351987" " 0.016869757" "-0.161814486" "-0.112817223" "-0.752040829" "-0.759325715" "-0.709471420" "-0.089010658" "-0.186457966" "-0.022885187" "-0.658664720" " 0.084651261" "-0.679742585" " 0.244321862" "-0.776473060" "-0.005719226" "-0.826275026" " 0.205643656" "-0.672323867" "-0.565585190" "-0.669621813" "-0.965586634" "-0.969330818" "-0.953093993" "-0.699763344" "-0.665159123" "-0.781823901" "-0.796172287" "-0.765057761" "-0.701642028" "-0.792483157" "-0.815859336" "-0.812017312" "-0.660196014" "-0.660196014" "-0.680069219" "-0.761303120" "-0.824089900" "-0.665349663" "-0.578748587" "-0.675588193" "-0.709800728" "-0.674102361" "-0.794922814" "-0.811026710" "-0.771388319" "-0.728319305" "-0.714345739" "-0.683725127" "-0.793158526" "-0.834949863"
"STANDING.21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
